s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
37.636	26.11948947	37.636	21.23666854	37.636	18.27310936
37.736	26.11968467	37.736	21.24389911	37.736	18.29000536
37.836	26.11987987	37.836	21.25896466	37.836	18.32241136
37.936	26.13203107	37.936	21.28096976	37.936	18.34018736
38.036	26.14918427	38.036	21.30521343	38.036	18.35884336
38.136	26.15425947	38.136	21.31233207	38.136	18.41104936
38.236	26.15872467	38.236	21.33209861	38.236	18.42882536
38.336	26.15891987	38.336	21.35164129	38.336	18.45430136
38.436	26.15911507	38.436	21.37196747	38.436	18.47812736
38.536	26.15931027	38.536	21.38692109	38.536	18.51053336
38.636	26.18341747	38.636	21.40030772	38.636	18.54293936
38.736	26.18361267	38.736	21.42231282	38.736	18.56676536
38.836	26.18380787	38.836	21.42943146	38.836	18.59532136
38.936	26.18400307	38.936	21.44449701	38.936	18.61012736
39.036	26.18419827	39.036	21.46650211	39.036	18.65540336
39.136	26.19622747	39.136	21.47765017	39.136	18.67922936
39.236	26.20081467	39.236	21.50189384	39.236	18.70085536
39.336	26.21625987	39.336	21.52389895	39.336	18.72248136
39.436	26.20876907	39.436	21.53504701	39.436	18.75103736
39.536	26.20896427	39.536	21.55705211	39.536	18.78256336
39.636	26.22111547	39.636	21.57513972	39.636	18.81111936
39.736	26.22131067	39.736	21.58326572	39.736	18.82812536
39.836	26.22150587	39.836	21.61444894	39.836	18.85448136
39.936	26.23353507	39.936	21.62089601	39.936	18.88688736
40.036	26.24568627	40.036	21.62353752	40.036	18.90928336
40.136	26.24588147	40.136	21.6565116	40.136	18.94300936
40.236	26.25034667	40.236	21.66765965	40.236	18.96683536
40.336	26.25310387	40.336	21.68574727	40.336	18.98857136
40.436	26.26793907	40.436	21.69208241	40.436	19.00634736
40.536	26.26813427	40.536	21.71408751	40.536	19.04645336
40.636	26.26832947	40.636	21.73609262	40.636	19.07709936
40.736	26.26852467	40.736	21.74724068	40.736	19.09498536
40.836	26.27298987	40.836	21.75838873	40.836	19.12046136
40.936	26.30270907	40.936	21.78733339	40.936	19.15891736
41.036	26.29534027	41.036	21.79366854	41.036	19.18736336
41.136	26.29553547	41.136	21.80481659	41.136	19.20524936
41.236	26.29573067	41.236	21.8268217	41.236	19.23072536
41.336	26.29592587	41.336	21.83405227	41.336	19.25235136
41.436	26.29185107	41.436	21.85292338	41.436	19.27617736
41.536	26.31242027	41.536	21.87112292	41.536	19.31936336
41.636	26.32030147	41.636	21.89133717	41.636	19.34098936
41.736	26.32049667	41.736	21.89554567	41.736	19.36096536
41.836	26.33264787	41.836	21.9065818	41.836	19.37577136
41.936	26.33284307	41.936	21.92466942	41.936	19.40124736
42.036	26.32876827	42.036	21.92876599	42.036	19.43662336
42.136	26.33555147	42.136	21.95088303	42.136	19.45362936
42.236	26.33574667	42.236	21.96191916	42.236	19.47525536
42.336	26.35216787	42.336	21.96914972	42.336	19.49688136
42.436	26.36004907	42.436	21.99249797	42.436	19.51399736
42.536	26.35585227	42.536	22.01058558	42.536	19.54409336
42.636	26.34848347	42.636	22.02867319	42.636	19.57484936
