Cycle:_4_1C-3_0.1_nM_X_time,(RU),Cycle:_5_1C-3_1_nM_X_time,(RU),Cycle:_6_1C-3_10_nM_X_time,(RU),Cycle:_7_1C-3_1000_nM_X_time,(RU)
-39.864,0.0523987,-39.864,0.0454102,-39.864,0.000488281,-39.864,0.0648499
-39.764,0.0523987,-39.764,0.0454102,-39.764,0.000488281,-39.764,0.0648499
-39.664,0.0523987,-39.664,0.0454102,-39.664,0.000488281,-39.664,0.0648499
-39.564,0.0523987,-39.564,0.0454102,-39.564,0.000488281,-39.564,0.0648499
-39.464,0.0523987,-39.464,0.0454102,-39.464,0.000488281,-39.464,0.0648499
-39.364,0.0523987,-39.364,0.0454102,-39.364,0.000488281,-39.364,0.0648499
-39.264,0.0523987,-39.264,0.0454102,-39.264,0.000488281,-39.264,0.0648499
-39.164,0.0488892,-39.164,0.0419006,-39.164,-0.00302124,-39.164,0.0613403
-39.064,0.0426331,-39.064,0.0356445,-39.064,-0.00927734,-39.064,0.0550842
-38.964,0.0426331,-38.964,0.0356445,-38.964,-0.00927734,-38.964,0.0550842
-38.864,0.0426331,-38.864,0.0356445,-38.864,-0.00927734,-38.864,0.0550842
-38.764,0.0426331,-38.764,0.0356445,-38.764,-0.00927734,-38.764,0.0550842
-38.664,0.0426331,-38.664,0.0356445,-38.664,-0.00927734,-38.664,0.0550842
-38.564,0.0426331,-38.564,0.0356445,-38.564,-0.00927734,-38.564,0.0550842
-38.464,0.0426331,-38.464,0.0356445,-38.464,-0.00927734,-38.464,0.0550842
-38.364,0.0426331,-38.364,0.0356445,-38.364,-0.00927734,-38.364,0.0550842
-38.264,0.0426331,-38.264,0.0356445,-38.264,-0.00927734,-38.264,0.0550842
-38.164,0.0426331,-38.164,0.0356445,-38.164,-0.00927734,-38.164,0.0550842
-38.064,0.0426331,-38.064,0.0356445,-38.064,-0.00927734,-38.064,0.0550842
-37.964,0.0391235,-37.964,0.032135,-37.964,-0.0127869,-37.964,0.0515747
-37.864,0.036377,-37.864,0.0293884,-37.864,-0.0155334,-37.864,0.0488281
-37.764,0.0426331,-37.764,0.0356445,-37.764,-0.00927734,-37.764,0.0550842
-37.664,0.0426331,-37.664,0.0356445,-37.664,-0.00927734,-37.664,0.0550842
-37.564,0.0426331,-37.564,0.0356445,-37.564,-0.00576782,-37.564,0.0550842
-37.464,0.0391235,-37.464,0.032135,-37.464,-0.00302124,-37.464,0.0515747
-37.364,0.0445862,-37.364,0.0258789,-37.364,-0.00927734,-37.364,0.0453186
-37.264,0.036377,-37.264,0.0293884,-37.264,-0.00576782,-37.264,0.0488281
-37.164,0.0508423,-37.164,0.032135,-37.164,-0.00302124,-37.164,0.0515747
-37.064,0.0445862,-37.064,0.0258789,-37.064,-0.00927734,-37.064,0.0453186
-36.964,0.0445862,-36.964,0.0258789,-36.964,-0.00927734,-36.964,0.0453186
-36.864,0.0445862,-36.864,0.0258789,-36.864,-0.00927734,-36.864,0.0453186
-36.764,0.0445862,-36.764,0.0258789,-36.764,-0.00927734,-36.764,0.0453186
-36.664,0.0445862,-36.664,0.0258789,-36.664,-0.00927734,-36.664,0.0453186
-36.564,0.0543518,-36.564,0.0356445,-36.564,0.000488281,-36.564,0.0550842
-36.464,0.0543518,-36.464,0.0356445,-36.464,0.000488281,-36.464,0.0550842
-36.364,0.0445862,-36.364,0.0258789,-36.364,-0.00927734,-36.364,0.0453186
-36.264,0.0445862,-36.264,0.0258789,-36.264,-0.00576782,-36.264,0.0453186
-36.164,0.0445862,-36.164,0.0258789,-36.164,0.000488281,-36.164,0.0453186
-36.064,0.0445862,-36.064,0.0258789,-36.064,-0.00302124,-36.064,0.0453186
-35.964,0.0445862,-35.964,0.0258789,-35.964,-0.00576782,-35.964,0.0453186
-35.864,0.0445862,-35.864,0.0258789,-35.864,0.000488281,-35.864,0.0453186
-35.764,0.0445862,-35.764,0.0258789,-35.764,0.000488281,-35.764,0.0453186
-35.664,0.0445862,-35.664,0.0161133,-35.664,0.000488281,-35.664,0.0453186
-35.564,0.0445862,-35.564,0.0258789,-35.564,0.000488281,-35.564,0.0453186
-35.464,0.0445862,-35.464,0.0161133,-35.464,0.000488281,-35.464,0.0453186
-35.364,0.0445862,-35.364,0.0258789,-35.364,0.000488281,-35.364,0.0453186
-35.264,0.0445862,-35.264,0.0161133,-35.264,0.000488281,-35.264,0.0453186
-35.164,0.0410767,-35.164,0.0126038,-35.164,-0.00302124,-35.164,0.0418091
-35.064,0.0348206,-35.064,0.00634766,-35.064,-0.00927734,-35.064,0.035553
-34.964,0.0348206,-34.964,0.00634766,-34.964,-0.00927734,-34.964,0.0390625
-34.864,0.0348206,-34.864,0.00634766,-34.864,-0.00927734,-34.864,0.0418091
-34.764,0.0348206,-34.764,0.00634766,-34.764,-0.00927734,-34.764,0.035553
-34.664,0.0348206,-34.664,0.00634766,-34.664,-0.00927734,-34.664,0.035553
-34.564,0.0348206,-34.564,0.00634766,-34.564,-0.00927734,-34.564,0.035553
-34.464,0.0348206,-34.464,0.00634766,-34.464,-0.00927734,-34.464,0.035553
-34.364,0.0348206,-34.364,0.00634766,-34.364,-0.00927734,-34.364,0.035553
-34.264,0.0348206,-34.264,0.00634766,-34.264,-0.00927734,-34.264,0.035553
-34.164,0.0348206,-34.164,0.00634766,-34.164,-0.00927734,-34.164,0.035553
-34.064,0.0348206,-34.064,0.00634766,-34.064,-0.00927734,-34.064,0.035553
-33.964,0.0348206,-33.964,0.00634766,-33.964,-0.00927734,-33.964,0.035553
-33.864,0.0348206,-33.864,0.00634766,-33.864,-0.00927734,-33.864,0.035553
-33.764,0.031311,-33.764,0.00634766,-33.764,-0.00927734,-33.764,0.035553
-33.664,0.0250549,-33.664,0.00634766,-33.664,-0.00927734,-33.664,0.035553
-33.564,0.0250549,-33.564,0.00634766,-33.564,-0.00927734,-33.564,0.035553
-33.464,0.0348206,-33.464,0.00634766,-33.464,-0.00927734,-33.464,0.035553
-33.364,0.0348206,-33.364,0.00634766,-33.364,-0.00576782,-33.364,0.035553
-33.264,0.0250549,-33.264,0.00634766,-33.264,0.000488281,-33.264,0.035553
-33.164,0.0348206,-33.164,0.00634766,-33.164,0.000488281,-33.164,0.0320435
-33.064,0.0250549,-33.064,0.00634766,-33.064,0.000488281,-33.064,0.0257874
-32.964,0.0348206,-32.964,0.00634766,-32.964,0.000488281,-32.964,0.0257874
-32.864,0.0348206,-32.864,0.00634766,-32.864,0.000488281,-32.864,0.0257874
-32.764,0.0250549,-32.764,0.00634766,-32.764,0.000488281,-32.764,0.0257874
-32.664,0.0348206,-32.664,0.00634766,-32.664,0.000488281,-32.664,0.0257874
-32.564,0.0348206,-32.564,0.00634766,-32.564,0.000488281,-32.564,0.0257874
-32.464,0.0445862,-32.464,0.0196228,-32.464,0.0102539,-32.464,0.035553
-32.364,0.0410767,-32.364,0.0188599,-32.364,0.00674438,-32.364,0.0320435
-32.264,0.0348206,-32.264,0.00634766,-32.264,0.000488281,-32.264,0.0257874
-32.164,0.0348206,-32.164,0.00634766,-32.164,0.000488281,-32.164,0.0257874
-32.064,0.0250549,-32.064,0.00634766,-32.064,0.000488281,-32.064,0.0257874
-31.964,0.0250549,-31.964,0.00634766,-31.964,0.000488281,-31.964,0.0257874
-31.864,0.0250549,-31.864,0.00634766,-31.864,0.000488281,-31.864,0.0257874
-31.764,0.0348206,-31.764,0.00634766,-31.764,0.000488281,-31.764,0.0257874
-31.664,0.0348206,-31.664,0.00634766,-31.664,0.000488281,-31.664,0.0257874
-31.564,0.031311,-31.564,0.00283813,-31.564,-0.00302124,-31.564,0.0222778
-31.464,0.0215454,-31.464,-0.00341797,-31.464,-0.00927734,-31.464,0.0160217
-31.364,0.0152893,-31.364,-0.00341797,-31.364,-0.00576782,-31.364,0.0160217
-31.264,0.0152893,-31.264,-0.00341797,-31.264,0.000488281,-31.264,0.0160217
-31.164,0.0152893,-31.164,-0.00341797,-31.164,0.000488281,-31.164,0.0160217
-31.064,0.0152893,-31.064,-0.00341797,-31.064,0.000488281,-31.064,0.0160217
-30.964,0.0152893,-30.964,-0.00341797,-30.964,0.000488281,-30.964,0.0160217
-30.864,0.0152893,-30.864,-0.00341797,-30.864,0.000488281,-30.864,0.0160217
-30.764,0.0152893,-30.764,-0.00341797,-30.764,0.000488281,-30.764,0.0160217
-30.664,0.0152893,-30.664,9.15527E-05,-30.664,0.000488281,-30.664,0.0160217
-30.564,0.0152893,-30.564,0.00634766,-30.564,0.000488281,-30.564,0.0160217
-30.464,0.0152893,-30.464,0.00634766,-30.464,0.000488281,-30.464,0.0160217
-30.364,0.0152893,-30.364,0.00634766,-30.364,0.000488281,-30.364,0.0160217
-30.264,0.0152893,-30.264,0.00634766,-30.264,0.000488281,-30.264,0.0160217
-30.164,0.0152893,-30.164,0.00634766,-30.164,0.000488281,-30.164,0.0160217
-30.064,0.0152893,-30.064,0.00283813,-30.064,0.000488281,-30.064,0.0160217
-29.964,0.0152893,-29.964,-0.00341797,-29.964,0.000488281,-29.964,0.0160217
-29.864,0.0152893,-29.864,-0.00341797,-29.864,0.000488281,-29.864,0.0160217
-29.764,0.0117798,-29.764,-0.00341797,-29.764,0.000488281,-29.764,0.0125122
-29.664,0.00552368,-29.664,-0.00341797,-29.664,-0.00302124,-29.664,0.0062561
-29.564,0.00552368,-29.564,-0.00341797,-29.564,-0.00927734,-29.564,0.0062561
